Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
Kepler-1483,,6337,1.4,1.25,0.394,4.24,2.4
Kepler-1484,,5730,0.92,0.94,0.796,4.49,3.98
Kepler-1485,,6087,1.12,1.11,0.28,4.39,2.51
Kepler-1486,,5965,1.12,1.08,0.312,4.38,3.55
Kepler-1487,,6541,1.63,1.38,0.557,4.16,1.95
Kepler-1489,,5655,0.9,0.93,0.198,4.51,4.07
Kepler-1490,,5515,0.87,0.9,-0.319,4.52,4.57
Kepler-1491,,5728,0.99,1,0.355,4.45,4.57
Kepler-1492,,4712,0.72,0.77,-0.754,4.62,2.82
Kepler-1493,,5863,1.29,1.06,0.249,4.24,6.46
Kepler-1494,,5659,0.94,0.96,0.079,4.48,4.37
Kepler-1495,,5831,1.04,1.03,0.052,4.42,4.17
Kepler-1496,,6182,1.27,1.18,0.304,4.29,2.95
Kepler-1497,,5675,0.95,0.96,-0.073,4.47,4.27
Kepler-1498,,5256,0.81,0.86,-0.166,4.56,4.17
Kepler-1499,,5097,0.78,0.82,-0.464,4.58,4.68
Kepler-15,,5515,0.99,1.02,-0.087,4.46,3.7
Kepler-1500,,5845,1,1,0.275,4.44,4.07
Kepler-1501,,6229,1.3,1.2,0.202,4.28,2.75
Kepler-1502,,6666,1.72,1.44,0.742,4.13,1.7
Kepler-1503,,5069,0.74,0.77,-0.144,4.59,5.13
Kepler-1504,,5393,0.81,0.85,0.468,4.55,4.47
Kepler-1505,,5686,0.86,0.93,0.149,4.54,1.7
Kepler-1506,,5676,0.93,0.95,0.426,4.49,3.98
Kepler-1507,,5410,0.85,0.89,-0.324,4.53,4.57
Kepler-1508,,6158,1.22,1.14,0.537,4.32,2.69
Kepler-1509,,5780,0.99,1,0.399,4.45,3.98
Kepler-1510,,6200,1.28,1.19,0.377,4.29,2.75
Kepler-1511,,6064,1.29,1.17,0.838,4.28,3.31
Kepler-1512,,4372,0.67,0.73,-1.695,4.64,1.78
